"EVAL_GRP","FORTYPCD","COUNTYCD","VOLCFNET"
11990,161,27,NA
11990,403,27,4160394.51642
11990,406,27,4382351.1948091
11990,407,27,1398256.9043523
11990,500,27,NA
11990,501,27,3269113.04774525
11990,503,27,28913515.1442955
11990,508,27,2864126.95365453
11990,520,27,NA
11990,141,29,8478778.69232693
11990,161,29,4774123.38077459
11990,162,29,17082235.7410637
11990,163,29,10536425.3251572
11990,404,29,20576738.7410004
11990,405,29,4004911.83683039
11990,406,29,18494052.1988926
11990,503,29,36507273.5330705
11990,520,29,843506.678856142
11990,161,31,7073862.40967969
11990,404,31,9808732.42066188
11990,406,31,24362696.9759241
11990,500,31,219654.99658608
11990,503,31,16683061.5950106
11990,520,31,8495390.94847992
11990,600,31,8453024.5118176
11990,161,33,2725338.67680194
11990,503,33,8779800.72563569
11990,142,35,25582539.1458045
11990,161,35,48482713.6586868
11990,406,35,3487726.70580482
11990,409,35,9349413.19831655
11990,503,35,17073568.7395626
11990,600,35,13108528.7135208
11990,161,37,939494.516824749
11990,163,37,3964920.11075306
11990,403,37,2313672.06070765
11990,404,37,2917372.63995701
11990,406,37,6090163.61556081
11990,503,37,9972145.77533885
11990,506,37,3122137.59953244
11990,999,37,NA
11990,141,39,94767621.7481251
11990,142,39,12661576.5535129
11990,161,39,51160441.0787225
11990,403,39,31099557.5495832
11990,406,39,12708288.0998369
11990,407,39,5553586.46082859
11990,500,39,1004128.94015683
11990,503,39,28299673.3432407
11990,520,39,2483486.43746976
11990,608,39,10084474.636007
11990,141,41,24015680.2051757
11990,161,41,7552657.97078616
11990,406,41,40365928.8094541
11990,500,41,563145.604474848
11990,503,41,11741968.0171461
11990,520,41,890413.087907828
11990,600,41,5419562.74347941
11990,404,43,5639427.29555422
11990,406,43,1702678.91957006
11990,503,43,13257154.9176591
11990,508,43,6320807.07781474
11990,520,43,1436487.8018417
11990,141,45,1244695.02459302
11990,142,45,12724862.0399655
11990,161,45,11735709.2365684
11990,404,45,3339060.83980819
11990,406,45,9860624.90923923
11990,503,45,9561115.20221025
11990,161,47,30174217.6276508
11990,406,47,26717440.6730642
11990,503,47,26505866.8340425
11990,600,47,12885131.1183351
11990,161,49,12391518.2567852
11990,500,49,3156967.15096886
11990,503,49,46652599.5641
11990,161,51,9659551.24834893
11990,406,51,369511.677864
11990,503,51,12675254.2233214
11990,141,53,105181742.866456
11990,142,53,33591477.7605367
11990,161,53,14132400.8745157
11990,403,53,9298266.54341975
11990,406,53,12696412.3565924
11990,407,53,17666786.2024038
11990,500,53,NA
11990,503,53,6836613.28451085
11990,600,53,1206696.5842498
11990,161,55,4910965.09977473
11990,406,55,1206540.45643639
11990,503,55,13472297.0055117
11990,600,55,647243.523202056
11990,161,57,11422868.2155442
11990,163,57,NA
11990,404,57,NA
11990,406,57,4746714.54560564
11990,503,57,7589089.99117384
11990,508,57,1674657.7536534
11990,520,57,NA
11990,600,57,NA
11990,608,57,1801600.9973748
11990,161,59,13579888.5668983
11990,405,59,4111469.30984826
11990,500,59,446315.95287144
11990,503,59,15979127.7920594
11990,508,59,672305.045165084
11990,142,61,14768253.3561256
11990,161,61,540193.20927264
11990,406,61,NA
11990,503,61,6503419.74567768
11990,600,61,4161339.65097574
11990,161,63,28248246.5840495
